ID,Target_Death_Rate,RateOfIncidence,Income,Poverty%,Age,Ages_men,Ages_women,Location,SizeOfHousehold,Married%,Edu_less_HS,Edu_HSD,Edu_Clg,Edu_Bachdegree,Edu_HSD25,Edu_Bachdegree25,16+_Employed,16+_Unemployed,Prv_Public_HealthCov,Prv_HealthCov,Employ_PrvCov,Gov_HealthCov,Gov_HealthCov_Alone,White_Residents,Black_Residents,Married,Rate_Of_Birth
14,236.7,501.8,37625,22.1,-,41.2,43.2,"Boone County, West Virginia",2.5,55.2,21.3,42.9,,5.2,49.4,5.4,39.5,9.2,60.2,42.8,41.3,46.3,25.4,98.3125,0.675,53.06378967,4.220287661
15,196.3,396.6,33817,22.2,44.5,43.7,45.3,"Braxton County, West Virginia",2.51,52.4,32.6,46.2,,3.4,49.1,8.5,44.3,14.4,56.1,41.9,38.9,43.4,25.4,97.91234619,0.497718789,53.27269485,5.469020422
16,186.2,481.6,43572,15.1,45.9,44.1,,"Brooke County, West Virginia",2.26,50.3,11.1,30.6,,3.8,43.7,11,51.9,6.4,68.3,49.5,46.4,39.7,19.4,96.81808578,1.745193323,47.58723829,4.970530452
17,194,483.4,34887,21.9,38.5,36.9,39.9,"Cabell County, West Virginia",2.32,43,9.7,28.2,,11.5,31.9,14.8,50.3,6.8,63.3,48.2,44.4,39,21.7,91.06936297,4.818020326,40.76501639,4.521925134
18,212.9,591,32961,25.1,43.3,43.4,43.3,"Clay County, West Virginia",2.62,55.8,19.5,51.1,,0,49.1,5.8,39.6,12.3,48.7,33.7,32.6,52,234234,98.04178974,0,58.09248555,8.753056235
19,185.6,234,41838,21.5,43.7,41.8,45.5,"Doddridge County, West Virginia",2.85,45.8,26.2,61.7,10.1,1.9,44.3,33,41,6.5,55.2,37.7,35.5,45.2,25.4,96.67113767,1.085233508,53.92670157,6.016466118
20,,494.9,36996,21.1,45.3,44.6,46.7,"Greenbrier County, West Virginia",2.28,52.2,22.4,36.6,27.8,,44,11.2,48.2,7.2,61.9,43.3,39.1,43,22.1,94.14288118,2.299108395,47.48027903,3453453
21,184.1,495,48178,12.9,45.6,44.1,47.9,"Hancock County, West Virginia",2.32,51.8,20,23.8,,14.8,42.8,12.6,53.2,7.2,69.5,50.3,46.7,37.6,17.1,95.71537366,2.238336479,48.44113541,5.693029274
22,153,374.9,41010,15.3,44.5,44.2,45,"Hardy County, West Virginia",2.69,50.1,-,54.2,,3.9,47.7,9.3,53.7,7.9,65.8,,46.9,38.2,19.1,94.69001148,-,51.41582622,2.955003358
23,206.7,506.6,42121,13.9,42,40.5,43.5,"Harrison County, West Virginia",2.48,52.4,17.7,38.6,34.2,9.5,39.5,13.5,53,7.4,64,47.3,44,39.5,21.3,95.67378765,1.820342619,49.69820377,345345
24,178.2,423.7,66950,10.2,39.7,39.9,39.3,"Jefferson County, West Virginia",2.65,53.3,14.1,24.5,55.3,6.2,32.1,18.2,60.3,8.4,73.3,58.6,53.8,29.2,14.6,88.24211251,6.96562466,54.09965078,4.995519713
25,205.4,508.7,43936,16.8,42.8,,44.3,"Kanawha County, West Virginia",2.28,47.9,20.4,33,,7.6,37.3,14.7,54.1,7,66,48.6,45.4,39.4,20.4,88.72214738,4.475812581,43.74346505,4.091266719
26,226.9,513.2,34295,24.4,41.9,,42.8,"Lincoln County, West Virginia",,50.6,16.9,50.7,27.2,5.2,43.4,5.7,42.2,10.1,51.7,34.3,31.7,52.6,31.6,98.32560297,0.477736549,52.9271954,2.635983264
27,240.1,523.9,36437,20.2,,41.5,44.1,"Logan County, West Virginia",2.5,,15,45.9,,2.2,41.6,5.5,40.5,10.9,56.1,40.5,39.9,45.5,25.8,96.44574944,2.192393736,52.33924375,4.195713917
28,234.8,457.1,24707,34.9,44.1,41.5,46.5,"McDowell County, West Virginia",2.39,46,32.3,51.6,,3.1,43.9,3.2,27,13.3,39.7,24.3,23.4,58.5,37.7,89.35679262,9.157773291,44.26650367,3.860072376
29,188.8,510.9,43729,17.9,41.1,39.7,42.7,"Marion County, West Virginia",2.47,51,11.2,34.4,,5.4,40.9,14.5,,4.9,67.6,,48.5,35.7,18.3,93.95492164,3.62211657,49.46399182,2342342
30,184.6,456.3,43356,15.2,44.3,42.9,46.5,"Marshall County, West Virginia",2.36,57.7,8.5,45.9,,9.2,45.1,11.4,50.9,7,70.3,50.4,47.8,37.5,17,97.66625616,0.858990148,55.3172673,3.174132305
31,210,493.8,35046,20.5,42.3,40.6,43.7,"Mercer County, West Virginia",2.39,50.6,14,37.3,,6.1,37.9,12.5,46.6,5.1,56.4,,35.9,48.2,27.1,91.14249245,5.857071303,48.3713803,4.807972069
32,240.8,507,29839,28.1,41.7,40.4,42.7,"Mingo County, West Virginia",4.5,55.6,17.2,47.3,,0.6,41,5.4,38.1,14.1,51.6,35.6,34.1,50.9,31.3,96.08962246,1.415294435,52.14865363,2.796024928
33,155.9,444.5,43835,22.5,30,28.5,31.3,"Monongalia County, West Virginia",2.56,37.2,3.5,23.8,58.2,14.5,29.9,20.6,55.4,5.8,76.5,63.8,57.1,23.3,234234234,90.57717276,3.597002007,40.42122317,4.001671717
34,190.7,434.6,36351,19.3,46.6,45.4,,"Monroe County, West Virginia",2.3,56.8,10.6,42,47,0.3,49.4,8.7,48,7.3,60.5,40.4,36.6,45.2,23234,97.65619224,0.695009242,53.16042597,6.07651913
35,209.7,425.4,44446,,46.1,45.8,46.6,"Morgan County, West Virginia",2.36,47.7,13.3,53.1,,7.6,41.2,11.1,49.3,12.3,63.7,,38.4,38.4,17.3,97.35622318,0.772532189,45.14153511,234234
36,184.4,500.9,40195,18.4,43.3,41.3,45.1,"Ohio County, West Virginia",2.24,45.2,12.3,26.7,,8.1,34.5,18.7,56,5.5,70.9,,47.9,36.2,16.8,93.13655843,4.152439444,42.92698827,3.257226644
37,139.8,381.8,38204,16.7,49.1,47.4,50.3,"Pendleton County, West Virginia",2.35,55.3,25.9,41.3,,3.6,46,7.3,45.4,4.9,59.8,41,31,45.3,24.1,95.9605512,2.728992164,54.86268174,7.611940299
38,213.3,458.9,44801,16.5,43.6,42,45.6,"Pleasants County, West Virginia",2.43,55,9,47.1,,4.3,50.1,7.3,45.6,8.2,71.6,53.8,51.8,36.8,17.7,97.14510215,0.275013096,56.79225717,2.966381015
39,176.8,384.8,34341,17.6,48.4,47.9,49,"Pocahontas County, West Virginia",2.24,56.4,10,54.9,27.1,8,47.4,10,50.7,5.7,60,40,37.8,44.9,23,96.75750259,1.483270093,53.27803051,4.256631709
40,169.8,435.3,41420,17.6,42.3,40.4,43.5,"Preston County, West Virginia",2.52,53.3,18,44.6,31.4,5.9,46.4,9,49.5,7,63.5,46.8,43.8,39.3,21.1,94.16427578,3.972315064,56.80724824,4.038301415
41,171.5,497.2,59472,10,41,40.4,41.6,"Putnam County, West Virginia",2.6,57.4,7.7,43.6,43,5.8,37.8,14.8,57.7,3.7,73.6,59.4,55.3,31.2,15.8,96.62520319,1.500106015,58.72299258,6.034482759
42,198.2,469.6,40270,17.7,41.6,40,43.4,"Raleigh County, West Virginia",2.4,51.3,11.9,41.1,,8.3,39.5,12,45.5,6.6,60.6,36.8,33.6,44.6,24,88.30214159,8.28099321,49.67065294,3.77850558
43,168.6,405.2,37468,20.8,43.2,41.7,45.1,"Randolph County, West Virginia",2.35,52.2,24.3,35.7,,7.6,46.3,10.6,48.7,6.7,59.6,43.1,40.5,43.3,23.4,96.90447812,1.924059254,51.97613076,4.231027535
44,204,449.2,33041,23.1,44.2,43.2,45,"Roane County, West Virginia",3.4,53.9,26,45.8,,10,46.5,8.2,41.3,8.9,51.6,36,32.9,51.8,32.6,97.9365947,0.020497404,52.19686649,2.353331124
45,170.4,377.1,32456,25.1,40.6,,46,"Summers County, West Virginia",2.22,53.5,20,46.2,,8.4,40.5,7.6,42.2,10,60.2,38.7,35.2,49.6,24.7,93.04489073,5.06497342,50.44770774,3.812668868
46,172.2,400.9,40305,16.8,43,41.6,44.5,"Taylor County, West Virginia",2.45,52.3,9.2,44.6,,5,43.6,11.7,48.9,9.5,63.7,45.9,43.9,42.6,20.6,97.26100018,0.948341874,52.0647653,6.801152738
47,168.1,528.4,36466,17.1,47.7,47,48.4,"Tucker County, West Virginia",2.26,60.5,7,50.6,,0,52.7,7.1,51.7,7.6,68,,46.1,39.3,17.9,98.16408491,0.229489386,56.87707641,3.868613139
48,199.1,,41019,15.8,46.2,45.6,46.9,"Tyler County, West Virginia",2.48,53.5,19,44.1,,6.3,49.2,7.2,44.1,10.9,62.3,41.7,38.9,43,19.8,98.73796081,0.166057788,52.40597345,1.988950276
49,189.5,453.7,38387,19.7,41.8,41.2,42.5,"Upshur County, West Virginia",2.57,51.5,9.1,39.1,,6.1,48.4,9.3,48.2,8,59.7,45,41.3,40.2,23.3,97.41449511,1.099348534,53.55768173,5.300938708
50,183.8,433.2,37242,20,42.5,41.3,43.5,"Wayne County, West Virginia",2.47,48.9,13.4,43.3,,3.2,40.9,7.5,43.3,9.9,54.6,39.7,37,45.6,27.1,97.9300706,0.361454493,47.52860823,4.112005292
51,202.6,514.6,40013,18.5,46,44.6,47.2,"Wetzel County, West Virginia",2.46,51.4,19.8,52.5,,3.2,48.7,6,41.7,8.1,63.5,42.7,39.7,44.6,21.3,98.44030451,-,51.70881226,6.161137441
52,185.8,455.3,38600,20.3,45,45.4,44,"Wirt County, West Virginia",2.4,52.2,21.1,31.6,,2.3,47.6,7.8,47.9,8.4,61.6,46.7,44,41.4,23.5,97.41482623,0.838897449,51.76954733,5.968928863
53,185.5,488.8,41932,17.2,42.5,41.1,44,"Wood County, West Virginia",2.37,51.1,15.8,36.5,,4.2,38.1,12.2,52.4,8.6,63,,42.2,42,23432424,96.18988205,1.059393015,47.88351017,6.23870268
54,235.4,447.8,34419,22.8,42.8,41.5,44.2,"Wyoming County, West Virginia",2.48,55.7,23.3,33.7,,3.6,46,4.5,34.6,10.1,54.6,38.3,36.7,49.9,28.7,97.72588122,0.782821657,54.03848244,6.018614271
55,206,467.9,42063,17.8,51.4,49.7,53.3,"Adams County, Wisconsin",2.47,50.9,21.5,44.6,,3.3,-,8.5,42.2,10.1,63.9,38.9,34.1,50.8,22.6,93.18859713,3.051195541,54.12278449,3.861129137
56,217.5,451.5,41294,,42.2,40.8,42.8,"Ashland County, Wisconsin",2.29,45.9,8.9,31.3,,6,35,14.6,58.2,7.9,62.7,46.2,39.4,42.5,23.9,84.96217095,0.525229788,42.79547484,6.460336538
57,168.4,412.1,46375,13.7,43.9,42,45.6,"Barron County, Wisconsin",2.35,55.8,15.6,44.4,,3.3,39.8,10.6,60,6,68.4,50.9,43.2,39.2,19,95.66169067,1.267346671,52.64644351,5.884312202
58,171.7,369.9,44395,13.6,50.8,50.5,51.1,"Bayfield County, Wisconsin",2.16,58.5,14.2,28.8,,4.5,30.2,18.9,54.1,7.2,65.9,,37.2,44.1,21,86.37873754,0.664451827,52.79664691,5.547054323
59,158.6,479.1,54141,12,36.8,35.7,37.9,"Brown County, Wisconsin",2.46,51.4,16.8,28.7,,9,31.3,20,65.4,6.1,72.5,60,54.6,30,17.2,86.45045286,2.359873899,49.80425278,5.921762149
60,190.1,399.2,41810,16.5,50.9,50.6,51.4,"Burnett County, Wisconsin",2.08,59,14.7,34.9,,6.8,40,11.9,50.3,7.5,64.2,,34.3,48.2,23.7,91.5416721,0.482587714,51.08041575,234234
61,160.1,482.4,800000,10.7,40.6,39.1,42,"Chippewa County, Wisconsin",2.44,55.6,14.2,,42.6,7,38.5,13.5,61.8,5.1,73.4,56.9,50.8,33.9,15.7,95.12569413,1.358983689,55.24062236,234324
62,176.4,466.4,43562,14.7,45.9,44.2,47.1,"Crawford County, Wisconsin",2.38,52.3,8.9,48.5,,4.9,42.7,10.1,55.6,6.5,67.4,49,43.9,41,20.3,96.23248195,1.789722745,51.27585686,5.300353357
63,153.8,430.7,61937,13.4,34.6,33.7,35.6,"Dane County, Wisconsin",2.35,47.5,6.3,21.9,,21.4,19,28.3,69.5,4.9,82.5,,62.8,22.6,10.2,84.4213423,5.199353976,45.26843317,4.458527742
64,,437.3,54359,9.9,42,40.4,43.7,"Dodge County, Wisconsin",2.51,51.1,15,45.6,,6.2,40.2,11.5,60.1,6,77.7,57.6,51.7,30.3,13.9,93.82361909,2.096061978,53.53820299,4.49736915
65,158.7,449.3,49717,11,51.7,,53.2,"Door County, Wisconsin",2.11,62.6,20.8,31,,11.1,32.9,19.7,55.6,6.2,75.8,,42.4,39.5,15.5,96.61750388,0.540910894,56.50832819,4.481380181
66,192.8,354.7,46475,13.9,40.6,39.8,41.3,"Douglas County, Wisconsin",2.28,47.6,10.9,26.9,54.7,7.5,33.2,15.4,59.9,7,66.5,51.4,47.1,37.9,20.6,92.94732756,1.102764903,44.24412034,6.150455775
67,171.9,308.2,44562,12.8,51.1,50.8,51.3,"Florence County, Wisconsin",2.32,59.9,23.9,15.7,,0,39.2,12,51.1,7.2,68.9,48.1,38.9,41.8,17.6,98.45844504,0.201072386,57.93067227,3.462050599
68,159.4,477,52149,9.9,41,40.1,41.8,"Fond du Lac County, Wisconsin",2.4,54.8,10.6,33.8,,6.2,38.5,14.8,64.6,5.3,77.1,60.3,54.8,30.6,14.4,93.58516484,1.164638933,53.51968638,4.541733098
69,166.4,490.6,41418,17,51.2,44.4,46.4,"Forest County, Wisconsin",2.33,52.8,18.9,42.2,,4.4,40.7,8.8,47.6,10.1,59.8,40.1,35.1,43.9,20.4,82.26229508,0.491803279,51.39107612,7.250418293
70,166.9,428.2,46972,15,36.1,33.2,-,"Grant County, Wisconsin",2.44,48.6,8.4,23.8,63,4.7,38.7,13.1,62.2,4.6,74.8,58.4,50.5,30.4,13.9,96.73716716,1.303190973,51.66349565,5.174434328
71,158.4,420,53328,8.7,42.2,41.3,43.2,"Green County, Wisconsin",2.47,56.7,10.5,40.9,36.1,12.4,39,14.8,67.6,3.5,78.2,,53.9,30.2,13.8,97.19792679,0.296944174,55.2736352,5.46031746
72,,447.2,61802,8.2,458.4,36.3,40.7,"Seward County, Nebraska",2.46,58.1,4.3,22.7,,6.2,29.5,18,63.4,3.5,83.4,67.6,55,24.3,9,96.47605601,0.352982704,60.49149338,9.675645959
73,169.9,356.1,40351,16,46.1,45.2,47.8,"Sheridan County, Nebraska",2.29,56.5,30.1,26.2,,5.4,31.1,17.2,61.2,1.4,64.9,,28.1,38.3,17.8,84.54854552,0.434454099,52.45683931,5.360824742
74,187.4,400.6,43883,-,49.5,47.7,50.5,"Sherman County, Nebraska",2.21,61,11.9,14.8,59.1,14.2,42.3,10,62.2,3.1,75.6,55.9,44.3,35.3,14.8,97.90794979,1.223044738,53.95787945,7.992565056
75,120.2,432.5,49517,10.7,48.9,47.6,50.9,"Thayer County, Nebraska",2.15,67,21.5,22.7,,9.2,37,14.8,,1.7,74,54.6,39.3,36.1,16.8,97.10536472,0.057892706,59.54720205,6.35451505
76,215,453.6,41344,34,28.6,27.5,30.3,"Thurston County, Nebraska",3.3,40.9,30.2,32.9,,3,35.5,9.2,,14.4,39.9,31.5,26.1,39.1,234234234,41.41952203,0.100777426,41.69865643,8.467741935
77,156.3,350.1,44726,12.3,46,44.2,46.6,"Valley County, Nebraska",2.21,64.2,17.2,34.4,,3.1,42.6,14.5,67,1.4,70.5,,35.6,38.3,16.9,98.30747532,0.070521862,56.87928308,5.01285347
78,159.2,431.4,69191,7.4,41.2,40.1,42.4,"Washington County, Nebraska",2.48,63.5,13,24.9,,11.2,31.1,22.6,68,1.4,82.4,68.2,58.2,22.9,8.3,97.27995261,0.676309424,62.95743092,5.725611099
79,142.1,392,53290,0,30.1,27.2,32.2,"Wayne County, Nebraska",2.33,53.9,3.6,17.7,,2.4,20.5,25.8,66.8,3,82.7,66.6,57.2,22.2,9.1,95.25729443,3.342175066,58.74285714,5.981533521
80,162.7,495.5,40979,12.7,47.5,45.5,49,"Webster County, Nebraska",2.31,57.2,28,31.1,,3.5,36.1,12.9,56.7,4.7,69.1,50.4,38.5,38.3,17.7,95.53692183,0.054097917,54.25257732,3.524229075
81,211,453.5494221,46840,13.2,38.9,37.1,40.8,"Churchill County, Nevada",2.51,51.6,19.8,39.3,,1.4,35,10.9,48.4,11.9,63,,34.9,37,17.3,81.84067293,2.370938479,49.69920844,7.724034496
82,167.7,453.5494221,51241,15.6,36.4,35.9,37,"Clark County, Nevada",2.78,44.6,20.2,35.5,,4.9,28.8,15.1,57.7,10.8,62.9,51.7,45.4,27.3,16,63.75048389,10.83685568,43.81306543,5.125073246
83,262.1,453.5494221,47180,14,46.5,43,47.5,"Esmeralda County, Nevada",2.35,44.3,1.2,62.7,36.1,0,43.2,12.6,46,11.9,56.5,38.8,34.9,37.1,16.5,87.37949167,0,40.57971014,4.326923077
84,178.7,453.5494221,70535,9.8,43.9,44.9,42.6,"Eureka County, Nevada",2.17,64.7,48.1,19.2,32.7,0,35.8,14.2,64,4.7,76.4,63.3,52.6,18.6,2.6,95.80587178,0.119832235,56.06258149,2.412868633
85,195.7,453.5494221,48576,13.7,43.2,43.1,43.4,"Lyon County, Nevada",2.63,51.1,30.2,36.7,,0.2,30.2,11.1,48.6,13.6,61.1,44.5,38.6,37.5,19.1,85.73668622,0.936949494,51.96681008,4.62962963
86,254.3,,40714,19,48.7,48,49.2,"Mineral County, Nevada",0.0225,41.8,6.1,42.3,51.6,0,35.5,6.8,48.1,15.4,58.1,39.6,36.4,43.2,21.6,66.68856767,1.314060447,34.42211055,9.518477044
87,213.5,453.5494221,42881,16.8,50.8,50.8,50.8,"Nye County, Nevada",0.01,54.4,32.3,41.2,,3.3,35.6,9.2,39.7,13.4,53.1,34.6,30.2,48.2,25,85.66334311,2.564222874,52.18339358,6.302577113
88,121.8,453.5494221,52001,18.5,41.3,39.5,44.1,"Pershing County, Nevada",2.29,44.8,38,28.9,,0,35.4,7.5,36.9,9.5,59.9,43.8,38.1,34.7,19.1,86.35822672,4.819994049,51.4162266,14.62113127
89,132.6,453.5494221,55291,8.4,54.7,54,55.6,"Storey County, Nevada",2.2,53.5,16.9,43.5,,13.7,29.5,14.1,50.4,10.3,68.5,48,40.6,34.1,13.2,94.24790023,0.432680071,52.23542728,1.17820324
90,166,453.5494221,52862,15.4,37.6,36.8,38.4,"Washoe County, Nevada",2.58,47,15.9,28.7,,-,24,18.2,59.6,9.1,65.4,,45.7,28.1,15.6,80.45763518,2.406331677,45.20183955,5.642578635
91,188.4,453.5494221,57243,13.7,39.4,38.4,40.3,"White Pine County, Nevada",2.71,44.8,23.9,47.1,,4.3,34.5,8.8,43.8,10.6,67.6,51.7,48.4,31.9,13.7,86.56506918,4.170844195,53.24756825,5.470459519
92,193.5,,45639,19.3,,41.2,44.4,"Carson City, Nevada",2.43,45.1,17.4,33.7,,5.1,28.6,12.8,52.9,11.3,61.3,45.9,41.5,35.6,18.7,82.83653317,0.965456481,42.93785311,4.262413265
93,182.6,508.6,59831,10,46.1,45.3,46.8,"Belknap County, New Hampshire",2.42,54.2,15.4,37.9,36.2,10.5,31.5,19.1,60.8,5.3,69.6,,48.6,33.9,16.8,96.38901306,-,53.36016587,4.824422651
94,168.8,481.8,57556,10.7,50.3,49.3,51,"Carroll County, New Hampshire",2.22,59.4,14.8,44.4,37.5,3.4,31.4,20,56.6,5.8,70,47.9,40.2,36.4,13.4,97.39650201,0.359901501,54.68263699,7.381867511
95,162.8,489.4,56008,11.8,42,41.4,42.5,"Cheshire County, New Hampshire",2.34,48.4,6.1,24.1,60.9,9,33.8,19.4,62.2,6.1,75,60.3,55,28.7,12.7,95.68755724,0.730079812,48.86415562,4.687933426
96,163.2,482.2,71233,8.7,40.1,39.2,41.1,"Hillsborough County, New Hampshire",2.55,51.4,13.6,31.8,40.4,14.9,27.2,23,66.1,5.9,76.7,64.4,59,25.2,12.7,90.78351965,2.388531878,51.98701098,5.055576216
97,173.1,507.6,62429,9.5,42.6,41.4,43.7,"Merrimack County, New Hampshire",2.49,51.5,10.9,29.9,49.9,9.3,28.4,21.5,62.9,5.2,76.3,61.5,56.3,28.3,13.1,94.9824123,1.181567546,53.12759016,3.901815696
98,172.2,518.8,79653,6.1,43.5,42.6,44.3,"Rockingham County, New Hampshire",2.51,56.8,13.5,30.9,,16.9,26.9,24.6,68,5.6,82.7,,62.1,22.3,9,95.2281894,0.748145522,57.13535713,4.370734571
99,177.6,502.6,58577,11.8,37.2,36.1,38.3,"Strafford County, New Hampshire",2.48,46.8,6.1,-,,7.9,28,21.1,64.3,6.5,74.8,61,54.5,26.2,12.4,93.39362832,0.957907929,49.94167427,3.681800261
100,179.5,505.5,54208,-,40.6,,42,"Atlantic County, New Jersey",2.64,45.1,12.3,32.4,45.8,9.4,32.9,17,58,12.5,66.9,49.9,45.3,33.4,17.7,67.14492185,15.56381093,44.80543715,4.69661296
101,171.6,531.8,80479,7.2,41,39.2,,"Burlington County, New Jersey",2.66,50.8,11.3,34.5,41.1,13,29.5,23.3,61,8.5,81.4,65.2,58.6,25.7,10.6,72.79982954,16.12030469,53.74561974,4.910516481
102,182.8,530.9,61685,13,38.3,36.6,40.1,"Camden County, New Jersey",2.71,44.7,13.1,33.2,,11.6,31.3,19.4,59.6,10.2,68.3,55.7,51.4,31.9,18.6,63.28325501,19.40984144,45.97396038,234234234
103,193.1,559.1,55409,13,48.3,46.7,49.9,"Cape May County, New Jersey",2.3,53.4,14.3,33.2,41.9,10.7,34.1,19.5,53,10,72.1,50.9,44.8,38.2,16.8,90.84703304,4.732529617,51.14075027,5.43325019
104,189.6,511.3,45438,19.5,36.9,35.6,38.8,"Cumberland County, New Jersey",2.86,39.6,17.6,40.9,,7.5,39.4,10.5,51,11.1,59.4,46.5,43.4,38.4,24,63.05218582,20.47441653,43.66264295,5.846434788
105,161.8,450.6,54603,16.7,36.9,35.4,38.4,"Essex County, New Jersey",2.77,39.1,13.7,29,,11.1,28.7,19.8,57.7,13,59.9,50.2,46.3,31.7,21.1,41.9237275,39.89456916,39.00426129,5.084469955
106,193.5,-,78983,8.2,39.6,38.2,40.8,"Gloucester County, New Jersey",2.74,51.7,10.6,30.4,48,10.9,34.3,19.9,61.3,9.2,78,64.6,60.1,26.2,12.8,81.98850836,-,55.37173438,4.878014043
107,152.6,399.5,57720,17.7,34.7,33.8,35.6,"Hudson County, New Jersey",2.63,41.5,12.8,25,,19.1,26.1,23.8,62.7,9.3,56.5,48.8,44.6,29.6,21.3,55.6263856,12.74804978,38.47522277,5.344239425
108,160.3,504.7,73750,11.8,38.4,36.9,39.9,"Mercer County, New Jersey",2.69,47.2,12.1,25,50.9,12,25.6,20.7,59.5,9.4,73.1,60.6,55.9,27.4,14.5,62.9261072,20.1471049,49.8130927,4.725836381
109,156.7,466.7,77330,8.3,37.7,36.6,38.9,"Middlesex County, New Jersey",2.85,51.6,9,22.1,54.8,14.1,26.3,24.5,60.4,7.5,74.6,64.2,59.8,23,12.1,61.04600747,0,55.65982883,5.074989438
110,150.3,488.5,100511,5,42,40.8,43.3,"Morris County, New Jersey",2.72,56.7,12.2,25.9,,20.6,22.5,29.8,64.7,6.3,84,,65.8,19.8,7.5,81.55751196,3.206795774,59.86962292,3.635690867
111,174.2,524.9,62937,11.9,42.8,40.4,45.1,"Ocean County, New Jersey",2.59,53.6,13,29.3,,12.4,36.1,18,53.6,8.8,70.9,51.5,46.3,38.5,19,91.84420259,3.09760905,53.40548509,6.13243835
112,159.1,448.4,58030,18.2,,35.1,37.9,"Passaic County, New Jersey",3.09,44.3,13.1,32.8,,10.3,34.8,17.1,57.8,8.6,55.8,47.2,43.6,35.3,25,64.2678703,12.60387648,48.72735839,4.533343875
113,194.8,516.6,56645,13.1,41.8,40.2,42.8,"Salem County, New Jersey",2.61,48.7,15.6,36.5,,9.1,38.6,14.3,55.8,10.6,69.1,54.3,50.4,35.2,18.7,80.25184275,14.02487715,49.59953998,5.98109071
114,176.4,493.1,82048,6.2,43.4,42.5,44.2,"Sussex County, New Jersey",2.67,55.9,12.2,28,,13,31,23.2,64,8.2,80.9,68.4,63.4,22.2,9.8,93.33721647,2.111971493,59.78569177,4.625184917
115,155.6,463,68172,11.1,38.1,36.5,39.5,"Union County, New Jersey",2,46.5,15.3,29.8,,13,29.7,19.7,62,9.8,65.9,56.1,51.1,27.5,17.1,57.86687417,21.30720336,49.27138445,5.746896424
